title/price/description/image
Toyota Mark X/$ 8 409/2004 г., 2.5 л., автоматседан, бензинруль справа, 250 000 км/"https://im.mashina.kg/tachka/images//3/a/7/3a7c33cce1d020e9930144c1d3920b82_240x180.jpg"
BMW 3 Серия/$ 14 500/2007 г., 3 л., автоматкабриолет, бензинруль слева, 180 000 км/"https://im.mashina.kg/tachka/images//4/8/2/4824297971cd21ec4d3089ac04e83ab0_240x180.jpg"
Hyundai Creta/$ 17 600/2017 г., 2 л., автоматвнедорожник, бензинруль слева, 58 000 км/"https://im.mashina.kg/tachka/images//2/0/2/2022ea21bebe6b353aadeeb66958f96b_240x180.jpg"
Toyota Highlander/$ 15 800/2008 г., 3.5 л., автоматвнедорожник 5 дв., бензинруль слева/"https://im.mashina.kg/tachka/images//2/4/9/2496e0eaaf38e1b0f12f65400261a04a_240x180.jpg"
BMW X5/$ 19 000/2011 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 148 100 км/"https://im.mashina.kg/tachka/images//a/a/f/aafdaaf9f7e38bc8f40af680c823fc8c_240x180.jpg"
Toyota Camry/$ 13 500/2012 г., 2.5 л., автоматседан, бензинруль слева/"https://im.mashina.kg/tachka/images//9/a/b/9ab1a6d4e084e86542003a9b635a8b51_240x180.jpg"
Toyota Corolla/$ 6 200/2005 г., 1.6 л., механикахэтчбек 5 дв., бензинруль слева, 252 362 км/"https://im.mashina.kg/tachka/images//2/8/a/28aed93968aa6f319fc63e946d860a9e_240x180.jpg"
Toyota Camry/$ 14 800/2015 г., 2.5 л., автоматседан, бензинруль слева, 142 000 км/"https://im.mashina.kg/tachka/images//e/3/4/e3412874e184ab47b437a7210d22d841_240x180.jpg"
BYD E5/$ 13 000/2018 г., автоматседан, электроруль слева, 50 000 км/"https://im.mashina.kg/tachka/images//7/b/0/7b071b5aa5c88ed851c618faea8a3485_240x180.jpg"
Honda Accord/$ 6 800/2003 г., 2 л., автоматседан, бензинруль справа/"https://im.mashina.kg/tachka/images//a/d/5/ad59c8d69be339dc49b6849115f09651_240x180.jpg"
Hyundai Sonata/$ 12 800/2017 г., 2.4 л., автоматседан, бензинруль слева, 73 000 км/"https://im.mashina.kg/tachka/images//f/8/3/f839e921cc69af0ce0ec9e88cb91c59f_240x180.jpg"
Hyundai Sonata/$ 11 900/2015 г., 2 л., автоматседан, газруль слева, 135 000 км/"https://im.mashina.kg/tachka/images//8/2/c/82cdb0d52bd719773ce8440226313ba7_240x180.jpg"
Lexus RX/$ 10 600/2005 г., 3 л., автоматвнедорожник 5 дв., бензинруль справа/"https://im.mashina.kg/tachka/images//1/a/a/1aa96b2322d043b71db97ca00a98731d_240x180.jpg"
Toyota Camry/$ 8 900/2005 г., 3 л., автоматседан, бензинруль слева/"https://im.mashina.kg/tachka/images//c/0/e/c0eed098ecd52e5b0c1205559a4b306a_240x180.jpg"
Toyota Camry/$ 25 800/2017 г., 2.5 л., автоматседан, бензинруль слева, 51 000 км/"https://im.mashina.kg/tachka/images//f/d/a/fdaa4cc4d7cf89a5b4fe3ed0f13aeeef_240x180.jpg"
Toyota Camry/$ 8 500/2005 г., 2.4 л., автоматседан, бензинруль слева, 196 741 км/"https://im.mashina.kg/tachka/images//7/b/5/7b59888e183da604d6fe43549f0a4bb8_240x180.jpg"
Subaru Forester/$ 9 500/2010 г., 2.5 л., автоматвнедорожник 5 дв., бензинруль слева, 162 000 км/"https://im.mashina.kg/tachka/images//2/5/8/25811bc37114bcc94f60407ca2e4c1db_240x180.jpg"
